[23, 23, 20, 19, 27, 19, 22, 22]
0.499[23, 23, 21, 20, 23, 20, 23, 22]
0.523[24, 23, 24, 20, 24, 20, 23, 24]
0.545[22, 22, 24, 20, 25, 20, 21, 21]
0.56[22, 21, 24, 20, 22, 18, 20, 20]
0.584[19, 20, 23, 20, 21, 18, 19, 21]
0.605[17, 22, 22, 21, 20, 17, 18, 20]
0.62[17, 22, 21, 20, 19, 17, 20, 17]
0.643[18, 21, 20, 21, 17, 18, 19, 17]
0.665[16, 20, 18, 20, 17, 20, 21, 18]
0.68[19, 21, 18, 20, 18, 20, 21, 19]
0.703[19, 19, 18, 19, 20, 21, 20, 20]
0.725[19, 20, 18, 20, 19, 21, 20, 21]
0.74[18, 19, 20, 21, 20, 20, 20, 20]
0.763[19, 21, 19, 21, 21, 19, 20, 21]
0.785[17, 21, 20, 21, 22, 19, 21, 22]
0.8[19, 22, 22, 22, 22, 20, 20, 21]
0.822[20, 21, 20, 21, 23, 18, 20, 21]
0.845[21, 22, 19, 19, 24, 20, 21, 21]
0.86[20, 22, 20, 19, 22, 18, 21, 22]
0.883[19, 22, 20, 18, 22, 19, 22, 22]
0.906[18, 23, 18, 19, 21, 18, 23, 22]
0.92[18, 22, 19, 19, 22, 19, 22, 20]
0.942[18, 21, 18, 19, 19, 18, 20, 20]
0.965[19, 21, 18, 18, 20, 18, 20, 17]
0.988[19, 20, 17, 18, 19, 17, 20, 18]
1.003[19, 18, 20, 16, 21, 16, 18, 21]
1.025[19, 19, 20, 18, 20, 16, 17, 22]
1.04[17, 18, 21, 19, 21, 17, 19, 23]
1.063[18, 17, 22, 20, 21, 19, 20, 22]
1.085[18, 19, 22, 23, 21, 21, 20, 22]
1.1[18, 20, 20, 22, 19, 21, 23, 24]
1.123[16, 18, 20, 22, 18, 20, 24, 24]
1.145[17, 23, 19, 21, 18, 20, 24, 25]
1.161[18, 23, 18, 23, 18, 20, 25, 26]
1.182[18, 22, 18, 19, 19, 20, 25, 25]
1.205[18, 24, 18, 21, 19, 20, 22, 22]
1.22[18, 25, 19, 20, 19, 21, 24, 24]
1.242[19, 22, 20, 20, 19, 21, 24, 22]
1.265[18, 22, 21, 17, 19, 20, 21, 20]
1.28[19, 24, 21, 18, 18, 17, 21, 20]
1.302[19, 22, 22, 17, 19, 19, 21, 20]
1.325[20, 22, 21, 16, 19, 21, 19, 19]
1.349[19, 22, 19, 15, 19, 21, 19, 20]
1.363[19, 22, 19, 16, 19, 21, 21, 22]
1.385[18, 21, 20, 15, 20, 22, 21, 23]
1.408[20, 21, 18, 15, 18, 20, 21, 23]
1.431[19, 19, 19, 15, 18, 17, 20, 25]
1.445[19, 19, 20, 16, 18, 19, 19, 24]
1.468[20, 18, 20, 15, 18, 19, 19, 23]
1.49[19, 20, 23, 15, 18, 18, 19, 22]
1.505[19, 21, 21, 15, 19, 18, 20, 22]
1.528[20, 22, 20, 15, 20, 17, 21, 17]
1.551[20, 23, 20, 16, 21, 15, 21, 20]
1.565[18, 22, 21, 18, 21, 16, 21, 19]
1.589[18, 21, 20, 18, 22, 15, 21, 19]
1.61[18, 20, 22, 18, 22, 16, 20, 18]
1.633[16, 20, 22, 18, 21, 18, 20, 19]
1.649[17, 20, 22, 19, 20, 18, 22, 20]
1.67[18, 22, 21, 19, 21, 18, 22, 19]
1.685[18, 21, 21, 19, 20, 19, 22, 20]
1.708[18, 22, 22, 18, 17, 19, 22, 21]
1.73[20, 22, 21, 20, 18, 19, 23, 20]
1.746[19, 22, 21, 20, 17, 18, 21, 18]
1.769[21, 22, 22, 19, 16, 21, 20, 21]
1.79[20, 22, 21, 19, 16, 20, 18, 20]
1.805[20, 23, 20, 20, 17, 19, 17, 20]
1.828[18, 22, 22, 20, 18, 19, 18, 19]
1.85[19, 21, 22, 18, 19, 19, 17, 19]
1.873[18, 21, 21, 19, 19, 18, 18, 18]
1.887[18, 19, 21, 19, 20, 17, 20, 19]
1.91[19, 19, 20, 19, 21, 17, 20, 22]
1.932[21, 18, 18, 18, 21, 18, 19, 22]
1.948[21, 18, 24, 18, 21, 18, 19, 21]
1.97[21, 18, 24, 19, 22, 18, 19, 20]
1.994[21, 20, 25, 19, 21, 18, 18, 22]
2.008[19, 20, 24, 21, 22, 20, 18, 21]
2.03[18, 22, 25, 21, 21, 18, 17, 22]
2.053[18, 21, 20, 21, 21, 17, 19, 22]
2.067[17, 21, 20, 23, 21, 17, 19, 23]
2.09[17, 20, 19, 24, 21, 19, 21, 22]
2.113[15, 19, 19, 22, 19, 19, 21, 21]
2.127[15, 18, 17, 22, 17, 19, 22, 22]
2.15[15, 19, 18, 23, 19, 21, 20, 24]
2.173[17, 18, 18, 21, 20, 21, 19, 24]
2.187[17, 20, 19, 20, 19, 19, 17, 22]
2.211[17, 22, 22, 21, 21, 20, 17, 23]
2.233[19, 21, 22, 19, 21, 19, 18, 21]
2.248[20, 22, 22, 19, 22, 20, 17, 19]
2.27[19, 22, 22, 19, 21, 19, 18, 18]
2.293[19, 21, 21, 18, 21, 20, 17, 19]
2.307[20, 20, 19, 17, 21, 17, 18, 17]
2.33[19, 20, 20, 19, 23, 18, 18, 17]
2.353[17, 18, 18, 18, 21, 17, 20, 16]
2.366[19, 20, 17, 18, 22, 17, 20, 16]
2.39[19, 20, 19, 18, 21, 16, 20, 15]
2.413[18, 19, 17, 20, 21, 19, 18, 16]
2.428[19, 18, 17, 20, 20, 19, 19, 15]
2.45[19, 21, 16, 21, 20, 19, 18, 20]
2.473[18, 19, 20, 20, 18, 19, 18, 21]
2.487[18, 19, 22, 20, 20, 19, 19, 22]
2.51[18, 21, 22, 18, 20, 19, 20, 21]
2.532[18, 22, 23, 19, 20, 19, 21, 24]
2.547[17, 20, 23, 18, 21, 18, 22, 21]
2.57[19, 21, 21, 19, 21, 19, 22, 20]
2.592[20, 22, 18, 19, 20, 20, 21, 19]
2.607[20, 21, 18, 20, 20, 18, 21, 21]
2.63[19, 23, 24, 24, 20, 19, 20, 21]
2.653[19, 22, 25, 25, 19, 20, 19, 19]
2.667[19, 21, 25, 26, 19, 20, 20, 21]
2.69[16, 21, 26, 27, 20, 19, 22, 21]
2.712[17, 21, 26, 29, 18, 20, 21, 21]
2.727[17, 21, 22, 26, 20, 19, 20, 21]
2.75[17, 21, 20, 25, 19, 17, 22, 24]
2.772[15, 22, 20, 24, 19, 19, 20, 23]
2.795[17, 22, 20, 23, 17, 20, 20, 23]
2.81[17, 23, 19, 20, 18, 18, 21, 24]
2.832[17, 22, 19, 19, 17, 20, 20, 22]
