[19, 20, 21, 19, 20, 21, 21, 23]
0.547[18, 21, 22, 21, 19, 21, 23, 23]
0.57[17, 21, 21, 22, 18, 21, 20, 23]
0.592[16, 21, 17, 23, 20, 22, 22, 24]
0.608[15, 18, 19, 21, 18, 19, 25, 21]
0.631[18, 15, 17, 23, 17, 18, 24, 19]
0.652[19, 18, 16, 22, 17, 19, 24, 21]
0.671[20, 20, 17, 23, 18, 20, 24, 19]
0.69[21, 19, 17, 22, 16, 19, 24, 18]
0.714[22, 20, 16, 22, 17, 23, 22, 20]
0.728[19, 22, 17, 21, 20, 25, 24, 21]
0.757[20, 23, 25, 34, 33, 96, 43, 22]
0.773[20, 27, 32, 41, 44, 138, 53, 24]
0.787[21, 30, 35, 48, 53, 169, 57, 25]
0.81[22, 31, 36, 47, 53, 172, 57, 25]
0.832[23, 31, 37, 49, 52, 175, 58, 26]
0.848[23, 27, 32, 41, 46, 150, 45, 24]
0.87[24, 25, 25, 33, 35, 113, 33, 23]
0.893[23, 23, 21, 22, 22, 61, 26, 22]
0.908[22, 21, 22, 22, 22, 49, 23, 23]
0.93[21, 20, 20, 19, 23, 41, 21, 21]
0.953[20, 22, 21, 18, 22, 35, 21, 22]
0.967[18, 20, 22, 17, 22, 34, 22, 22]
0.99[18, 18, 23, 18, 20, 28, 21, 21]
1.012[17, 19, 20, 18, 20, 28, 21, 19]
1.035[18, 20, 21, 21, 19, 25, 27, 19]
1.05[19, 19, 21, 20, 19, 23, 26, 19]
1.072[20, 18, 21, 21, 17, 19, 25, 19]
1.095[18, 18, 21, 23, 18, 21, 26, 19]
1.11[18, 20, 22, 25, 22, 23, 25, 19]
1.132[17, 20, 22, 22, 21, 25, 22, 19]
1.155[18, 20, 22, 25, 25, 33, 24, 20]
1.17[17, 20, 18, 25, 27, 35, 24, 20]
1.194[18, 21, 19, 24, 27, 36, 25, 23]
1.215[18, 19, 20, 22, 24, 35, 26, 22]
1.23[19, 19, 19, 23, 25, 35, 25, 22]
1.252[18, 18, 21, 21, 21, 29, 22, 24]
1.275[17, 21, 23, 21, 19, 26, 23, 23]
1.29[18, 20, 22, 20, 18, 25, 21, 21]
1.312[19, 21, 21, 20, 19, 26, 21, 21]
1.335[18, 21, 22, 20, 20, 25, 20, 21]
1.35[19, 22, 21, 19, 21, 24, 21, 20]
1.373[19, 19, 21, 20, 20, 25, 21, 21]
1.395[19, 20, 21, 21, 21, 23, 20, 24]
1.41[21, 20, 20, 20, 21, 22, 22, 24]
1.432[20, 20, 20, 20, 20, 22, 21, 24]
1.463[20, 18, 20, 22, 21, 20, 20, 22]
1.478[20, 21, 22, 20, 22, 19, 17, 23]
1.501[19, 22, 22, 20, 24, 19, 21, 19]
1.515[17, 20, 23, 20, 23, 19, 20, 19]
1.546[18, 20, 22, 20, 22, 19, 21, 20]
1.56[18, 20, 22, 17, 20, 19, 20, 20]
1.576[20, 20, 18, 19, 21, 19, 23, 19]
1.598[19, 18, 18, 20, 18, 21, 21, 20]
1.627[19, 19, 18, 20, 18, 23, 20, 21]
1.634[18, 20, 19, 22, 18, 20, 19, 22]
1.658[16, 20, 19, 22, 21, 21, 23, 22]
1.68[17, 22, 20, 21, 19, 21, 21, 23]
1.694[19, 21, 22, 19, 19, 19, 20, 25]
1.717[19, 22, 20, 19, 21, 16, 20, 25]
1.74[20, 21, 20, 16, 21, 18, 22, 25]
1.754[21, 22, 19, 18, 19, 19, 19, 24]
1.778[19, 19, 19, 19, 20, 20, 18, 23]
1.8[19, 20, 18, 19, 20, 20, 20, 21]
1.814[20, 21, 19, 20, 20, 21, 21, 21]
1.837[19, 22, 19, 22, 21, 20, 19, 19]
1.86[17, 22, 19, 22, 22, 21, 18, 18]
1.874[18, 22, 21, 23, 21, 22, 20, 18]
1.897[17, 22, 22, 21, 21, 22, 18, 17]
1.92[15, 21, 22, 24, 20, 21, 18, 16]
1.934[17, 21, 23, 22, 19, 22, 20, 17]
1.957[19, 21, 22, 23, 18, 19, 21, 17]
1.98[19, 20, 21, 22, 19, 20, 19, 19]
1.994[19, 21, 19, 27, 20, 19, 20, 20]
2.017[20, 20, 20, 23, 20, 21, 23, 21]
2.04[19, 20, 19, 22, 20, 22, 24, 21]
2.054[18, 19, 20, 20, 20, 25, 23, 20]
