[39, 77, 198, 87, 43, 27, 25, 23]
0.7[39, 77, 198, 87, 43, 27, 25, 23]
0.7[39, 77, 198, 87, 43, 27, 25, 23]
0.7[39, 77, 198, 87, 43, 27, 25, 23]
0.7[39, 77, 198, 87, 43, 27, 25, 23]
0.7[39, 77, 198, 87, 43, 27, 25, 23]
0.7[39, 77, 198, 87, 43, 27, 25, 23]
0.7[39, 77, 198, 87, 43, 27, 25, 23]
0.7[41, 76, 213, 92, 45, 30, 28, 29]
0.71[41, 76, 213, 92, 45, 30, 28, 29]
0.71[41, 76, 213, 92, 45, 30, 28, 29]
0.71[41, 76, 213, 92, 45, 30, 28, 29]
0.71[41, 76, 213, 92, 45, 30, 28, 29]
0.71[41, 76, 213, 92, 45, 30, 28, 29]
0.71[41, 76, 213, 92, 45, 30, 28, 29]
0.71[41, 76, 213, 92, 45, 30, 28, 29]
0.71[50, 87, 222, 100, 54, 31, 30, 31]
0.74[50, 87, 222, 100, 54, 31, 30, 31]
0.74[50, 87, 222, 100, 54, 31, 30, 31]
0.74[50, 87, 222, 100, 54, 31, 30, 31]
0.74[50, 87, 222, 100, 54, 31, 30, 31]
0.74[50, 87, 222, 100, 54, 31, 30, 31]
0.74[50, 87, 222, 100, 54, 31, 30, 31]
0.74[50, 87, 222, 100, 54, 31, 30, 31]
0.74[49, 84, 214, 96, 57, 32, 30, 30]
0.76[49, 84, 214, 96, 57, 32, 30, 30]
0.76[49, 84, 214, 96, 57, 32, 30, 30]
0.76[49, 84, 214, 96, 57, 32, 30, 30]
0.76[49, 84, 214, 96, 57, 32, 30, 30]
0.76[49, 84, 214, 96, 57, 32, 30, 30]
0.76[49, 84, 214, 96, 57, 32, 30, 30]
0.76[49, 84, 214, 96, 57, 32, 30, 30]
0.76[42, 65, 191, 99, 54, 28, 30, 32]
0.77[42, 65, 191, 99, 54, 28, 30, 32]
0.77[42, 65, 191, 99, 54, 28, 30, 32]
0.77[42, 65, 191, 99, 54, 28, 30, 32]
0.77[42, 65, 191, 99, 54, 28, 30, 32]
0.77[42, 65, 191, 99, 54, 28, 30, 32]
0.77[42, 65, 191, 99, 54, 28, 30, 32]
0.77[42, 65, 191, 99, 54, 28, 30, 32]
0.77[43, 64, 158, 105, 56, 29, 30, 32]
0.8[43, 64, 158, 105, 56, 29, 30, 32]
0.8[43, 64, 158, 105, 56, 29, 30, 32]
0.8[43, 64, 158, 105, 56, 29, 30, 32]
0.8[43, 64, 158, 105, 56, 29, 30, 32]
0.8[43, 64, 158, 105, 56, 29, 30, 32]
0.8[43, 64, 158, 105, 56, 29, 30, 32]
0.8[43, 64, 158, 105, 56, 29, 30, 32]
0.8[42, 76, 152, 104, 57, 29, 28, 28]
0.82[42, 76, 152, 104, 57, 29, 28, 28]
0.82[42, 76, 152, 104, 57, 29, 28, 28]
0.82[42, 76, 152, 104, 57, 29, 28, 28]
0.82[42, 76, 152, 104, 57, 29, 28, 28]
0.82[42, 76, 152, 104, 57, 29, 28, 28]
0.82[42, 76, 152, 104, 57, 29, 28, 28]
0.82[42, 76, 152, 104, 57, 29, 28, 28]
0.82[31, 67, 147, 100, 48, 28, 26, 27]
0.83[31, 67, 147, 100, 48, 28, 26, 27]
0.83[31, 67, 147, 100, 48, 28, 26, 27]
0.83[31, 67, 147, 100, 48, 28, 26, 27]
0.83[31, 67, 147, 100, 48, 28, 26, 27]
0.83[31, 67, 147, 100, 48, 28, 26, 27]
0.83[31, 67, 147, 100, 48, 28, 26, 27]
0.83[31, 67, 147, 100, 48, 28, 26, 27]
0.83[33, 69, 165, 107, 49, 29, 26, 28]
0.86[33, 69, 165, 107, 49, 29, 26, 28]
0.86[33, 69, 165, 107, 49, 29, 26, 28]
0.86[33, 69, 165, 107, 49, 29, 26, 28]
0.86[33, 69, 165, 107, 49, 29, 26, 28]
0.86[33, 69, 165, 107, 49, 29, 26, 28]
0.86[33, 69, 165, 107, 49, 29, 26, 28]
0.86[33, 69, 165, 107, 49, 29, 26, 28]
0.86[35, 73, 178, 112, 55, 34, 28, 27]
0.88[35, 73, 178, 112, 55, 34, 28, 27]
0.88[35, 73, 178, 112, 55, 34, 28, 27]
0.88[35, 73, 178, 112, 55, 34, 28, 27]
0.88[35, 73, 178, 112, 55, 34, 28, 27]
0.88[35, 73, 178, 112, 55, 34, 28, 27]
0.88[35, 73, 178, 112, 55, 34, 28, 27]
0.88[35, 73, 178, 112, 55, 34, 28, 27]
0.88[37, 77, 187, 118, 55, 33, 25, 26]
0.89[37, 77, 187, 118, 55, 33, 25, 26]
0.89[37, 77, 187, 118, 55, 33, 25, 26]
0.89[37, 77, 187, 118, 55, 33, 25, 26]
0.89[37, 77, 187, 118, 55, 33, 25, 26]
0.89[37, 77, 187, 118, 55, 33, 25, 26]
0.89[37, 77, 187, 118, 55, 33, 25, 26]
0.89[37, 77, 187, 118, 55, 33, 25, 26]
0.89[42, 93, 176, 121, 55, 31, 24, 28]
0.92[42, 93, 176, 121, 55, 31, 24, 28]
0.92[42, 93, 176, 121, 55, 31, 24, 28]
0.92[42, 93, 176, 121, 55, 31, 24, 28]
0.92[42, 93, 176, 121, 55, 31, 24, 28]
0.92[42, 93, 176, 121, 55, 31, 24, 28]
0.92[42, 93, 176, 121, 55, 31, 24, 28]
0.92[42, 93, 176, 121, 55, 31, 24, 28]
0.92[43, 93, 182, 127, 59, 32, 27, 28]
0.94[43, 93, 182, 127, 59, 32, 27, 28]
0.94[43, 93, 182, 127, 59, 32, 27, 28]
0.94[43, 93, 182, 127, 59, 32, 27, 28]
0.94[43, 93, 182, 127, 59, 32, 27, 28]
0.94[43, 93, 182, 127, 59, 32, 27, 28]
0.94[43, 93, 182, 127, 59, 32, 27, 28]
0.94[43, 93, 182, 127, 59, 32, 27, 28]
0.94[41, 94, 197, 136, 59, 31, 26, 27]
0.95[41, 94, 197, 136, 59, 31, 26, 27]
0.95[41, 94, 197, 136, 59, 31, 26, 27]
0.95[41, 94, 197, 136, 59, 31, 26, 27]
0.95[41, 94, 197, 136, 59, 31, 26, 27]
0.95[41, 94, 197, 136, 59, 31, 26, 27]
0.95[41, 94, 197, 136, 59, 31, 26, 27]
0.95[41, 94, 197, 136, 59, 31, 26, 27]
0.95[38, 93, 201, 129, 56, 27, 24, 24]
0.98[38, 93, 201, 129, 56, 27, 24, 24]
0.98[38, 93, 201, 129, 56, 27, 24, 24]
0.98[38, 93, 201, 129, 56, 27, 24, 24]
0.98[38, 93, 201, 129, 56, 27, 24, 24]
0.98[38, 93, 201, 129, 56, 27, 24, 24]
0.98[38, 93, 201, 129, 56, 27, 24, 24]
0.98[38, 93, 201, 129, 56, 27, 24, 24]
0.98[38, 93, 202, 117, 49, 26, 24, 26]
1.0[38, 93, 202, 117, 49, 26, 24, 26]
1.0[38, 93, 202, 117, 49, 26, 24, 26]
1.0[38, 93, 202, 117, 49, 26, 24, 26]
1.0[38, 93, 202, 117, 49, 26, 24, 26]
1.0[38, 93, 202, 117, 49, 26, 24, 26]
1.0[38, 93, 202, 117, 49, 26, 24, 26]
1.0[38, 93, 202, 117, 49, 26, 24, 26]
1.0[29, 71, 215, 125, 51, 27, 23, 22]
1.01[29, 71, 215, 125, 51, 27, 23, 22]
1.01[29, 71, 215, 125, 51, 27, 23, 22]
1.01[29, 71, 215, 125, 51, 27, 23, 22]
1.01[29, 71, 215, 125, 51, 27, 23, 22]
1.01[29, 71, 215, 125, 51, 27, 23, 22]
1.01[29, 71, 215, 125, 51, 27, 23, 22]
1.01[29, 71, 215, 125, 51, 27, 23, 22]
1.01[35, 80, 218, 118, 50, 26, 21, 22]
1.04[35, 80, 218, 118, 50, 26, 21, 22]
1.04[35, 80, 218, 118, 50, 26, 21, 22]
1.04[35, 80, 218, 118, 50, 26, 21, 22]
1.04[35, 80, 218, 118, 50, 26, 21, 22]
1.04[35, 80, 218, 118, 50, 26, 21, 22]
1.04[35, 80, 218, 118, 50, 26, 21, 22]
1.04[35, 80, 218, 118, 50, 26, 21, 22]
1.04[37, 80, 203, 108, 52, 25, 19, 24]
1.06[37, 80, 203, 108, 52, 25, 19, 24]
1.06[37, 80, 203, 108, 52, 25, 19, 24]
1.06[37, 80, 203, 108, 52, 25, 19, 24]
1.06[37, 80, 203, 108, 52, 25, 19, 24]
1.06[37, 80, 203, 108, 52, 25, 19, 24]
1.06[37, 80, 203, 108, 52, 25, 19, 24]
1.06[37, 80, 203, 108, 52, 25, 19, 24]
1.06[38, 82, 205, 118, 50, 25, 19, 25]
1.07[38, 82, 205, 118, 50, 25, 19, 25]
1.07[38, 82, 205, 118, 50, 25, 19, 25]
1.07[38, 82, 205, 118, 50, 25, 19, 25]
1.07[38, 82, 205, 118, 50, 25, 19, 25]
1.07[38, 82, 205, 118, 50, 25, 19, 25]
1.07[38, 82, 205, 118, 50, 25, 19, 25]
1.07[38, 82, 205, 118, 50, 25, 19, 25]
1.07[37, 79, 208, 109, 50, 26, 18, 25]
