[39, 72, 345, 209, 77, 28, 23, 28]
0.6[39, 72, 345, 209, 77, 28, 23, 28]
0.6[39, 72, 345, 209, 77, 28, 23, 28]
0.6[39, 72, 345, 209, 77, 28, 23, 28]
0.6[39, 72, 345, 209, 77, 28, 23, 28]
0.6[39, 72, 345, 209, 77, 28, 23, 28]
0.6[39, 72, 345, 209, 77, 28, 23, 28]
0.6[39, 72, 345, 209, 77, 28, 23, 28]
0.6[40, 62, 338, 202, 79, 27, 25, 27]
0.62[40, 62, 338, 202, 79, 27, 25, 27]
0.62[40, 62, 338, 202, 79, 27, 25, 27]
0.62[40, 62, 338, 202, 79, 27, 25, 27]
0.62[40, 62, 338, 202, 79, 27, 25, 27]
0.62[40, 62, 338, 202, 79, 27, 25, 27]
0.62[40, 62, 338, 202, 79, 27, 25, 27]
0.62[40, 62, 338, 202, 79, 27, 25, 27]
0.62[40, 65, 396, 206, 79, 30, 27, 27]
0.64[40, 65, 396, 206, 79, 30, 27, 27]
0.64[40, 65, 396, 206, 79, 30, 27, 27]
0.64[40, 65, 396, 206, 79, 30, 27, 27]
0.64[40, 65, 396, 206, 79, 30, 27, 27]
0.64[40, 65, 396, 206, 79, 30, 27, 27]
0.64[40, 65, 396, 206, 79, 30, 27, 27]
0.64[40, 65, 396, 206, 79, 30, 27, 27]
0.64[41, 66, 450, 215, 75, 30, 28, 26]
0.66[41, 66, 450, 215, 75, 30, 28, 26]
0.66[41, 66, 450, 215, 75, 30, 28, 26]
0.66[41, 66, 450, 215, 75, 30, 28, 26]
0.66[41, 66, 450, 215, 75, 30, 28, 26]
0.66[41, 66, 450, 215, 75, 30, 28, 26]
0.66[41, 66, 450, 215, 75, 30, 28, 26]
0.66[41, 66, 450, 215, 75, 30, 28, 26]
0.66[39, 69, 483, 192, 67, 31, 27, 25]
0.68[39, 69, 483, 192, 67, 31, 27, 25]
0.68[39, 69, 483, 192, 67, 31, 27, 25]
0.68[39, 69, 483, 192, 67, 31, 27, 25]
0.68[39, 69, 483, 192, 67, 31, 27, 25]
0.68[39, 69, 483, 192, 67, 31, 27, 25]
0.68[39, 69, 483, 192, 67, 31, 27, 25]
0.68[39, 69, 483, 192, 67, 31, 27, 25]
0.68[37, 61, 407, 143, 44, 28, 25, 22]
0.7[37, 61, 407, 143, 44, 28, 25, 22]
0.7[37, 61, 407, 143, 44, 28, 25, 22]
0.7[37, 61, 407, 143, 44, 28, 25, 22]
0.7[37, 61, 407, 143, 44, 28, 25, 22]
0.7[37, 61, 407, 143, 44, 28, 25, 22]
0.7[37, 61, 407, 143, 44, 28, 25, 22]
0.7[37, 61, 407, 143, 44, 28, 25, 22]
0.7[36, 60, 402, 164, 51, 31, 23, 21]
0.72[36, 60, 402, 164, 51, 31, 23, 21]
0.72[36, 60, 402, 164, 51, 31, 23, 21]
0.72[36, 60, 402, 164, 51, 31, 23, 21]
0.72[36, 60, 402, 164, 51, 31, 23, 21]
0.72[36, 60, 402, 164, 51, 31, 23, 21]
0.72[36, 60, 402, 164, 51, 31, 23, 21]
0.72[36, 60, 402, 164, 51, 31, 23, 21]
0.72[34, 55, 369, 172, 57, 28, 21, 19]
0.75[34, 55, 369, 172, 57, 28, 21, 19]
0.75[34, 55, 369, 172, 57, 28, 21, 19]
0.75[34, 55, 369, 172, 57, 28, 21, 19]
0.75[34, 55, 369, 172, 57, 28, 21, 19]
0.75[34, 55, 369, 172, 57, 28, 21, 19]
0.75[34, 55, 369, 172, 57, 28, 21, 19]
0.75[34, 55, 369, 172, 57, 28, 21, 19]
0.75[33, 65, 338, 150, 56, 30, 22, 20]
0.76[33, 65, 338, 150, 56, 30, 22, 20]
0.76[33, 65, 338, 150, 56, 30, 22, 20]
0.76[33, 65, 338, 150, 56, 30, 22, 20]
0.76[33, 65, 338, 150, 56, 30, 22, 20]
0.76[33, 65, 338, 150, 56, 30, 22, 20]
0.76[33, 65, 338, 150, 56, 30, 22, 20]
0.76[33, 65, 338, 150, 56, 30, 22, 20]
0.76[34, 69, 302, 159, 56, 28, 23, 19]
0.78[34, 69, 302, 159, 56, 28, 23, 19]
0.78[34, 69, 302, 159, 56, 28, 23, 19]
0.78[34, 69, 302, 159, 56, 28, 23, 19]
0.78[34, 69, 302, 159, 56, 28, 23, 19]
0.78[34, 69, 302, 159, 56, 28, 23, 19]
0.78[34, 69, 302, 159, 56, 28, 23, 19]
0.78[34, 69, 302, 159, 56, 28, 23, 19]
0.78[33, 74, 278, 144, 55, 26, 23, 19]
0.8[33, 74, 278, 144, 55, 26, 23, 19]
0.8[33, 74, 278, 144, 55, 26, 23, 19]
0.8[33, 74, 278, 144, 55, 26, 23, 19]
0.8[33, 74, 278, 144, 55, 26, 23, 19]
0.8[33, 74, 278, 144, 55, 26, 23, 19]
0.8[33, 74, 278, 144, 55, 26, 23, 19]
0.8[33, 74, 278, 144, 55, 26, 23, 19]
0.8[36, 78, 290, 118, 43, 25, 22, 21]
0.82[36, 78, 290, 118, 43, 25, 22, 21]
0.82[36, 78, 290, 118, 43, 25, 22, 21]
0.82[36, 78, 290, 118, 43, 25, 22, 21]
0.82[36, 78, 290, 118, 43, 25, 22, 21]
0.82[36, 78, 290, 118, 43, 25, 22, 21]
0.82[36, 78, 290, 118, 43, 25, 22, 21]
0.82[36, 78, 290, 118, 43, 25, 22, 21]
0.82[35, 82, 339, 109, 38, 25, 22, 20]
0.84[35, 82, 339, 109, 38, 25, 22, 20]
0.84[35, 82, 339, 109, 38, 25, 22, 20]
0.84[35, 82, 339, 109, 38, 25, 22, 20]
0.84[35, 82, 339, 109, 38, 25, 22, 20]
0.84[35, 82, 339, 109, 38, 25, 22, 20]
0.84[35, 82, 339, 109, 38, 25, 22, 20]
0.84[35, 82, 339, 109, 38, 25, 22, 20]
0.84[36, 73, 313, 106, 37, 25, 24, 22]
0.86[36, 73, 313, 106, 37, 25, 24, 22]
0.86[36, 73, 313, 106, 37, 25, 24, 22]
0.86[36, 73, 313, 106, 37, 25, 24, 22]
0.86[36, 73, 313, 106, 37, 25, 24, 22]
0.86[36, 73, 313, 106, 37, 25, 24, 22]
0.86[36, 73, 313, 106, 37, 25, 24, 22]
0.86[36, 73, 313, 106, 37, 25, 24, 22]
0.86[33, 69, 314, 98, 37, 25, 24, 22]
0.88[33, 69, 314, 98, 37, 25, 24, 22]
0.88[33, 69, 314, 98, 37, 25, 24, 22]
0.88[33, 69, 314, 98, 37, 25, 24, 22]
0.88[33, 69, 314, 98, 37, 25, 24, 22]
0.88[33, 69, 314, 98, 37, 25, 24, 22]
0.88[33, 69, 314, 98, 37, 25, 24, 22]
0.88[33, 69, 314, 98, 37, 25, 24, 22]
0.88[35, 77, 330, 108, 37, 27, 25, 23]
0.91[35, 77, 330, 108, 37, 27, 25, 23]
0.91[35, 77, 330, 108, 37, 27, 25, 23]
0.91[35, 77, 330, 108, 37, 27, 25, 23]
0.91[35, 77, 330, 108, 37, 27, 25, 23]
0.91[35, 77, 330, 108, 37, 27, 25, 23]
0.91[35, 77, 330, 108, 37, 27, 25, 23]
0.91[35, 77, 330, 108, 37, 27, 25, 23]
0.91[35, 81, 386, 117, 40, 24, 27, 22]
0.92[35, 81, 386, 117, 40, 24, 27, 22]
0.92[35, 81, 386, 117, 40, 24, 27, 22]
0.92[35, 81, 386, 117, 40, 24, 27, 22]
0.92[35, 81, 386, 117, 40, 24, 27, 22]
0.92[35, 81, 386, 117, 40, 24, 27, 22]
0.92[35, 81, 386, 117, 40, 24, 27, 22]
0.92[35, 81, 386, 117, 40, 24, 27, 22]
0.92[35, 82, 331, 131, 50, 27, 25, 23]
0.94[35, 82, 331, 131, 50, 27, 25, 23]
0.94[35, 82, 331, 131, 50, 27, 25, 23]
0.94[35, 82, 331, 131, 50, 27, 25, 23]
0.94[35, 82, 331, 131, 50, 27, 25, 23]
0.94[35, 82, 331, 131, 50, 27, 25, 23]
0.94[35, 82, 331, 131, 50, 27, 25, 23]
0.94[35, 82, 331, 131, 50, 27, 25, 23]
0.94[31, 83, 373, 184, 62, 27, 22, 23]
0.96[31, 83, 373, 184, 62, 27, 22, 23]
0.96[31, 83, 373, 184, 62, 27, 22, 23]
0.96[31, 83, 373, 184, 62, 27, 22, 23]
0.96[31, 83, 373, 184, 62, 27, 22, 23]
0.96[31, 83, 373, 184, 62, 27, 22, 23]
0.96[31, 83, 373, 184, 62, 27, 22, 23]
0.96[31, 83, 373, 184, 62, 27, 22, 23]
0.96[35, 82, 372, 189, 63, 27, 22, 25]
0.98[35, 82, 372, 189, 63, 27, 22, 25]
0.98[35, 82, 372, 189, 63, 27, 22, 25]
0.98[35, 82, 372, 189, 63, 27, 22, 25]
0.98[35, 82, 372, 189, 63, 27, 22, 25]
0.98[35, 82, 372, 189, 63, 27, 22, 25]
0.98[35, 82, 372, 189, 63, 27, 22, 25]
0.98[35, 82, 372, 189, 63, 27, 22, 25]
0.98[37, 81, 381, 200, 70, 25, 23, 24]
1.0[37, 81, 381, 200, 70, 25, 23, 24]
1.0[37, 81, 381, 200, 70, 25, 23, 24]
1.0[37, 81, 381, 200, 70, 25, 23, 24]
1.0[37, 81, 381, 200, 70, 25, 23, 24]
1.0[37, 81, 381, 200, 70, 25, 23, 24]
1.0[37, 81, 381, 200, 70, 25, 23, 24]
1.0[37, 81, 381, 200, 70, 25, 23, 24]
1.0[34, 79, 330, 199, 69, 28, 22, 25]
1.02[34, 79, 330, 199, 69, 28, 22, 25]
1.02[34, 79, 330, 199, 69, 28, 22, 25]
1.02[34, 79, 330, 199, 69, 28, 22, 25]
1.02[34, 79, 330, 199, 69, 28, 22, 25]
1.02[34, 79, 330, 199, 69, 28, 22, 25]
1.02[34, 79, 330, 199, 69, 28, 22, 25]
1.02[34, 79, 330, 199, 69, 28, 22, 25]
1.02[36, 79, 356, 194, 72, 28, 25, 26]
1.04[36, 79, 356, 194, 72, 28, 25, 26]
1.04[36, 79, 356, 194, 72, 28, 25, 26]
1.04[36, 79, 356, 194, 72, 28, 25, 26]
1.04[36, 79, 356, 194, 72, 28, 25, 26]
1.04[36, 79, 356, 194, 72, 28, 25, 26]
1.04[36, 79, 356, 194, 72, 28, 25, 26]
1.04[36, 79, 356, 194, 72, 28, 25, 26]
1.04[35, 77, 303, 151, 63, 29, 26, 23]
1.06[35, 77, 303, 151, 63, 29, 26, 23]
1.06[35, 77, 303, 151, 63, 29, 26, 23]
1.06[35, 77, 303, 151, 63, 29, 26, 23]
1.06[35, 77, 303, 151, 63, 29, 26, 23]
1.06[35, 77, 303, 151, 63, 29, 26, 23]
1.06[35, 77, 303, 151, 63, 29, 26, 23]
1.06[35, 77, 303, 151, 63, 29, 26, 23]
1.06[33, 79, 347, 152, 64, 30, 28, 21]
1.08[33, 79, 347, 152, 64, 30, 28, 21]
1.08[33, 79, 347, 152, 64, 30, 28, 21]
1.08[33, 79, 347, 152, 64, 30, 28, 21]
1.08[33, 79, 347, 152, 64, 30, 28, 21]
1.08[33, 79, 347, 152, 64, 30, 28, 21]
1.08[33, 79, 347, 152, 64, 30, 28, 21]
1.08[33, 79, 347, 152, 64, 30, 28, 21]
1.08[28, 72, 366, 161, 60, 32, 28, 22]
1.1[28, 72, 366, 161, 60, 32, 28, 22]
1.1[28, 72, 366, 161, 60, 32, 28, 22]
1.1[28, 72, 366, 161, 60, 32, 28, 22]
1.1[28, 72, 366, 161, 60, 32, 28, 22]
1.1[28, 72, 366, 161, 60, 32, 28, 22]
1.1[28, 72, 366, 161, 60, 32, 28, 22]
1.1[28, 72, 366, 161, 60, 32, 28, 22]
1.1[32, 92, 355, 150, 61, 30, 28, 23]
1.12[32, 92, 355, 150, 61, 30, 28, 23]
1.12[32, 92, 355, 150, 61, 30, 28, 23]
1.12[32, 92, 355, 150, 61, 30, 28, 23]
1.12[32, 92, 355, 150, 61, 30, 28, 23]
1.12[32, 92, 355, 150, 61, 30, 28, 23]
1.12[32, 92, 355, 150, 61, 30, 28, 23]
1.12[32, 92, 355, 150, 61, 30, 28, 23]
1.12[34, 96, 420, 158, 57, 29, 26, 23]
1.14[34, 96, 420, 158, 57, 29, 26, 23]
1.14[34, 96, 420, 158, 57, 29, 26, 23]
1.14[34, 96, 420, 158, 57, 29, 26, 23]
1.14[34, 96, 420, 158, 57, 29, 26, 23]
1.14[34, 96, 420, 158, 57, 29, 26, 23]
1.14[34, 96, 420, 158, 57, 29, 26, 23]
1.14[34, 96, 420, 158, 57, 29, 26, 23]
1.14[36, 105, 431, 162, 60, 30, 26, 24]
1.16[36, 105, 431, 162, 60, 30, 26, 24]
1.16[36, 105, 431, 162, 60, 30, 26, 24]
1.16[36, 105, 431, 162, 60, 30, 26, 24]
1.16[36, 105, 431, 162, 60, 30, 26, 24]
1.16[36, 105, 431, 162, 60, 30, 26, 24]
1.16[36, 105, 431, 162, 60, 30, 26, 24]
1.16[36, 105, 431, 162, 60, 30, 26, 24]
1.16[38, 106, 401, 155, 58, 30, 24, 23]
1.18[38, 106, 401, 155, 58, 30, 24, 23]
1.18[38, 106, 401, 155, 58, 30, 24, 23]
1.18[38, 106, 401, 155, 58, 30, 24, 23]
1.18[38, 106, 401, 155, 58, 30, 24, 23]
1.18[38, 106, 401, 155, 58, 30, 24, 23]
1.18[38, 106, 401, 155, 58, 30, 24, 23]
1.18[38, 106, 401, 155, 58, 30, 24, 23]
1.18[36, 103, 382, 135, 57, 29, 22, 24]
1.2[36, 103, 382, 135, 57, 29, 22, 24]
1.2[36, 103, 382, 135, 57, 29, 22, 24]
1.2[36, 103, 382, 135, 57, 29, 22, 24]
1.2[36, 103, 382, 135, 57, 29, 22, 24]
1.2[36, 103, 382, 135, 57, 29, 22, 24]
1.2[36, 103, 382, 135, 57, 29, 22, 24]
1.2[36, 103, 382, 135, 57, 29, 22, 24]
1.2[34, 83, 428, 143, 55, 29, 20, 21]
1.22[34, 83, 428, 143, 55, 29, 20, 21]
1.22[34, 83, 428, 143, 55, 29, 20, 21]
1.22[34, 83, 428, 143, 55, 29, 20, 21]
1.22[34, 83, 428, 143, 55, 29, 20, 21]
1.22[34, 83, 428, 143, 55, 29, 20, 21]
1.22[34, 83, 428, 143, 55, 29, 20, 21]
1.22[34, 83, 428, 143, 55, 29, 20, 21]
1.22[33, 92, 370, 134, 52, 29, 20, 21]
1.24[33, 92, 370, 134, 52, 29, 20, 21]
1.24[33, 92, 370, 134, 52, 29, 20, 21]
1.24[33, 92, 370, 134, 52, 29, 20, 21]
1.24[33, 92, 370, 134, 52, 29, 20, 21]
1.24[33, 92, 370, 134, 52, 29, 20, 21]
1.24[33, 92, 370, 134, 52, 29, 20, 21]
1.24[33, 92, 370, 134, 52, 29, 20, 21]
1.24[34, 83, 354, 127, 46, 25, 20, 22]
1.26[34, 83, 354, 127, 46, 25, 20, 22]
1.26[34, 83, 354, 127, 46, 25, 20, 22]
1.26[34, 83, 354, 127, 46, 25, 20, 22]
1.26[34, 83, 354, 127, 46, 25, 20, 22]
1.26[34, 83, 354, 127, 46, 25, 20, 22]
1.26[34, 83, 354, 127, 46, 25, 20, 22]
1.26[34, 83, 354, 127, 46, 25, 20, 22]
1.26[32, 80, 362, 132, 43, 23, 21, 22]
1.28[32, 80, 362, 132, 43, 23, 21, 22]
1.28[32, 80, 362, 132, 43, 23, 21, 22]
1.28[32, 80, 362, 132, 43, 23, 21, 22]
1.28[32, 80, 362, 132, 43, 23, 21, 22]
1.28[32, 80, 362, 132, 43, 23, 21, 22]
1.28[32, 80, 362, 132, 43, 23, 21, 22]
1.28[32, 80, 362, 132, 43, 23, 21, 22]
1.28[32, 82, 352, 121, 43, 23, 25, 21]
1.3[32, 82, 352, 121, 43, 23, 25, 21]
1.3[32, 82, 352, 121, 43, 23, 25, 21]
1.3[32, 82, 352, 121, 43, 23, 25, 21]
1.3[32, 82, 352, 121, 43, 23, 25, 21]
1.3[32, 82, 352, 121, 43, 23, 25, 21]
1.3[32, 82, 352, 121, 43, 23, 25, 21]
1.3[32, 82, 352, 121, 43, 23, 25, 21]
